模型名称,交叉验证R²,R²标准差,交叉验证RMSE,RMSE标准差,是否最佳
ElasticNetCV,0.7757570043206079,0.07229827722283576,10.209113946666472,1.7767863797703478,False
RidgeCV,0.7868064018219701,0.07412534406495527,9.941666923154493,1.9036279630017572,False
LassoCV,0.7789657726955428,0.07090439458022041,10.157413890157382,1.7742247136377423,False
SVR_RBF,0.8728021690446025,0.09763414448351351,7.217498832868597,3.3081141973928134,True
SVR_Poly,0.23601757882074578,0.3062270381449722,18.797467990993223,4.2532966411425805,False
GaussianProcess,-0.9242283939708895,0.31919378019409805,30.629557916812598,6.363750151486644,False
Poly2_Ridge,0.8535860989709296,0.058388863355403595,8.134663155962832,1.2670590499467875,False
RandomForest_Small,0.729841998545425,0.08372962785959233,11.332837431716907,2.792837890240997,False
