变量,回归系数,绝对系数
温度,9.85681626561837,9.85681626561837
总催化剂质量,6.0505957561697885,6.0505957561697885
Co_loading,-3.786813199468387,3.786813199468387
ethanol_conc,1.2786408197772978,1.2786408197772978
Co_SiO2_HAP_ratio_corrected,0.6461453036516935,0.6461453036516935
