目标变量,测试集R²,交叉验证R²,CV标准差
乙醇转化率(%),0.7283447728969537,0.6587611591336413,0.09759023499807601
C4烯烃选择性(%),0.6604423005620581,0.4844474227139669,0.2234779594534184
C4烯烃收率,0.44142307384282686,0.20662187899116166,0.582957436437127
