目标变量,影响因子,F统计量,p值,显著性,效应量η²,效应大小
乙醇转化率(%),温度_分组,49.42498755756611,6.84080696887814e-16,显著,0.4825481431451255,大
乙醇转化率(%),Co负载量_分组,3.1615249289459686,0.04638310735006416,显著,0.056293431008966444,小
C4烯烃选择性(%),温度_分组,40.81205291376134,7.193051619992246e-14,显著,0.4350406120126023,大
C4烯烃选择性(%),Co负载量_分组,0.6038855409945519,0.5485531536401997,不显著,0.011265704620101093,小
C4烯烃收率,温度_分组,36.72488166659722,7.624962185880209e-13,显著,0.40930543439511924,大
C4烯烃收率,Co负载量_分组,0.9412378807760282,0.3933805893440636,不显著,0.017449319254712065,小
