目标变量,因子1,因子2,交互项系数,交互项p值,交互效应
乙醇转化率(%),温度,Co_loading,-0.0006638837959491431,0.9762936328707278,不显著
乙醇转化率(%),温度,总催化剂质量,0.0006830961641970994,1.8767696172381401e-06,显著
乙醇转化率(%),温度,ethanol_conc,-0.09248778566237616,0.037049704878686064,显著
乙醇转化率(%),Co_loading,总催化剂质量,0.008682054220795992,0.46538327250669664,不显著
C4烯烃选择性(%),温度,Co_loading,-0.01676810004185263,0.2274517408556355,不显著
C4烯烃选择性(%),温度,总催化剂质量,0.000135711421086399,0.2002764707608679,不显著
C4烯烃选择性(%),温度,ethanol_conc,-0.06142805585308572,0.05714230214252572,不显著
C4烯烃选择性(%),Co_loading,总催化剂质量,-0.003069738157379603,0.6521841388096646,不显著
