目标变量,最优模型,训练集R²,交叉验证R²,R²标准差,交叉验证RMSE,RMSE标准差
乙醇转化率(%),SVR_RBF,0.962722682134442,0.8728021690446025,0.09763414448351351,7.217498832868597,3.3081141973928134
C4烯烃选择性(%),Poly2_Ridge,0.8105568509789998,0.7134546798386208,0.09349769458370599,6.869969799761947,1.3155311803733734
C4烯烃收率,Poly2_Ridge,0.9199687060674326,0.8536574953442769,0.053229799716987186,3.3395614985267503,1.1196800074006967
