模型名称,交叉验证R²,R²标准差,交叉验证RMSE,RMSE标准差,是否最佳
ElasticNetCV,0.7675000185939408,0.09708357187121329,4.1685327751265175,1.4350948173920979,False
RidgeCV,0.8282338673797797,0.07492733441813515,3.5655289446966614,1.111261260447286,False
LassoCV,0.8306065622263155,0.0745911650769695,3.5115235305495363,0.992942123061996,False
SVR_RBF,0.8501406792367283,0.09795453050925851,3.316378491460037,1.925135172196942,False
SVR_Poly,0.6077269979118666,0.13789012428101702,5.35290105273967,1.4286289518257906,False
GaussianProcess,-0.23274953257150044,0.4850124164699087,9.618431400661072,4.239037770778131,False
Poly2_Ridge,0.8536574953442769,0.053229799716987186,3.3395614985267503,1.1196800074006967,True
RandomForest_Small,0.6628657379980619,0.15275542325809993,5.104609039773598,2.2488001323459383,False
