目标变量,影响因子,相关系数,重要性,敏感性系数,综合影响得分,影响等级,影响方向
乙醇转化率(%),温度,0.7705951123459627,1.413568704436093,0.33944667943774953,0.8412034987399352,高,正向
乙醇转化率(%),Co_loading,0.04184602208804769,0.044672719718561425,0.13849088409574134,0.07500320863411682,低,正向
乙醇转化率(%),ethanol_conc,-0.3311981487480633,0.22060931194677727,-8.745378208601176,3.099061889765339,高,负向
乙醇转化率(%),总催化剂质量,0.4026485654069714,0.4119854842275144,0.05395317563952719,0.2895290750913377,低,正向
C4烯烃选择性(%),温度,0.6998487334637202,1.1989112218931564,0.18752961452871414,0.6954298566285302,高,正向
C4烯烃选择性(%),Co_loading,-0.16495740619178811,0.41604088883127943,-3.214375886617423,1.265124727213497,高,负向
C4烯烃选择性(%),ethanol_conc,-0.10706589545384333,0.17564704249299593,2.7805723626824603,1.0210951002097666,高,负向
C4烯烃选择性(%),总催化剂质量,0.3857090043995446,0.9292242526258289,0.04258327246956459,0.45250550983164595,中,正向
