阶段,方法,收率,温度,成功
第一阶段,梯度优化(最佳催化剂),57.180987405103764,449.99999999995913,True
第一阶段,梯度优化(参数中位数),53.3773839318155,450.0,True
第一阶段,梯度优化(随机初始点),53.3773839302664,450.0,True
第二阶段,差分进化(全局),57.18098740516621,450.0,True
