催化剂编号,指标,拟合方法,R²
A12,C4烯烃选择性,阿伦尼乌斯,0.9974083251954589
A13,乙醇转化率,线性,0.8766214300811779
A13,乙醇转化率,二次多项式,0.9965077721452519
A13,乙醇转化率,三次多项式,0.999990657967447
A13,乙醇转化率,指数,0.9994781673867656
A13,乙醇转化率,阿伦尼乌斯,0.9766999793145359
A13,C4烯烃选择性,线性,0.976773901279027
A13,C4烯烃选择性,二次多项式,0.9816574726879314
A13,C4烯烃选择性,三次多项式,0.9998425377003712
A13,C4烯烃选择性,指数,0.9763000812682305
A13,C4烯烃选择性,阿伦尼乌斯,0.9806552396340404
A14,乙醇转化率,线性,0.9291052482443621
A14,乙醇转化率,二次多项式,0.9971621841340914
A14,乙醇转化率,三次多项式,0.999823953447667
A14,乙醇转化率,指数,0.999852644580882
A14,乙醇转化率,阿伦尼乌斯,0.9916854610830663
A14,C4烯烃选择性,线性,0.9199695104695207
A14,C4烯烃选择性,二次多项式,0.9994632942717171
A14,C4烯烃选择性,三次多项式,0.9994842945335446
A14,C4烯烃选择性,指数,0.9964483528437041
A14,C4烯烃选择性,阿伦尼乌斯,0.9885198591659269
B1,乙醇转化率,线性,0.9255646378564135
B1,乙醇转化率,二次多项式,0.9988764534877772
B1,乙醇转化率,三次多项式,0.9999998967067232
B1,乙醇转化率,指数,0.9997954460378502
B1,乙醇转化率,阿伦尼乌斯,0.9912806160733892
B1,C4烯烃选择性,线性,0.9717655226581137
B1,C4烯烃选择性,二次多项式,0.9971767720267276
B1,C4烯烃选择性,三次多项式,0.9999458456221071
B1,C4烯烃选择性,指数,0.9953642960758016
B1,C4烯烃选择性,阿伦尼乌斯,0.9960892389497852
B2,乙醇转化率,线性,0.8635338694926444
B2,乙醇转化率,二次多项式,0.991290257413684
B2,乙醇转化率,三次多项式,0.9999987089376942
B2,乙醇转化率,指数,0.9999311810792303
B2,乙醇转化率,阿伦尼乌斯,0.9604397195110516
B2,C4烯烃选择性,线性,0.9697964467557791
B2,C4烯烃选择性,二次多项式,0.9977358428540073
B2,C4烯烃选择性,三次多项式,0.9999983664032792
B2,C4烯烃选择性,指数,0.9958836422443371
B2,C4烯烃选择性,阿伦尼乌斯,0.996788242227853
B3,乙醇转化率,线性,0.7923584662243008
B3,乙醇转化率,二次多项式,0.9914752877600168
B3,乙醇转化率,三次多项式,0.9992714997302687
B3,乙醇转化率,指数,0.9993212814545391
B3,乙醇转化率,阿伦尼乌斯,0.9436283049668498
B3,C4烯烃选择性,线性,0.942778012274683
B3,C4烯烃选择性,二次多项式,0.9762965197112663
B3,C4烯烃选择性,三次多项式,0.9768265049639913
B3,C4烯烃选择性,指数,0.976586276135491
B3,C4烯烃选择性,阿伦尼乌斯,0.9766284663628908
B4,乙醇转化率,线性,0.80872070233378
B4,乙醇转化率,二次多项式,0.9870280931608632
B4,乙醇转化率,三次多项式,0.998234985485433
B4,乙醇转化率,指数,0.999102912490289
B4,乙醇转化率,阿伦尼乌斯,0.950821409567185
B4,C4烯烃选择性,线性,0.8010277120279479
B4,C4烯烃选择性,二次多项式,0.9736842570032735
B4,C4烯烃选择性,三次多项式,0.9823966892595656
B4,C4烯烃选择性,指数,0.95122168110723
B4,C4烯烃选择性,阿伦尼乌斯,0.9114969630187104
B5,乙醇转化率,线性,0.832487109982075
B5,乙醇转化率,二次多项式,0.9914400132676279
B5,乙醇转化率,三次多项式,0.9998425231660051
B5,乙醇转化率,指数,0.9999052004495256
B5,乙醇转化率,阿伦尼乌斯,0.96444109298819
B5,C4烯烃选择性,线性,0.9557394838908683
B5,C4烯烃选择性,二次多项式,0.9982217759390932
B5,C4烯烃选择性,三次多项式,0.9989526782232874
B5,C4烯烃选择性,指数,0.9968059187721474
B5,C4烯烃选择性,阿伦尼乌斯,0.9968098763666877
B6,乙醇转化率,线性,0.8834258401138426
B6,乙醇转化率,二次多项式,0.9902488266424317
B6,乙醇转化率,三次多项式,0.9986414744689563
B6,乙醇转化率,指数,0.9971704771195263
B6,乙醇转化率,阿伦尼乌斯,0.9752361593312971
B6,C4烯烃选择性,线性,0.9645566159159418
B6,C4烯烃选择性,二次多项式,0.9709298622258736
B6,C4烯烃选择性,三次多项式,0.9994299718885903
B6,C4烯烃选择性,指数,0.9700091611401325
B6,C4烯烃选择性,阿伦尼乌斯,0.9714336847053395
B7,乙醇转化率,线性,0.8763216533816394
B7,乙醇转化率,二次多项式,0.9965984054718545
B7,乙醇转化率,三次多项式,0.9995885271140098
B7,乙醇转化率,指数,0.9992634261276303
B7,乙醇转化率,阿伦尼乌斯,0.9738076174828761
B7,C4烯烃选择性,线性,0.988824738367381
B7,C4烯烃选择性,二次多项式,0.9971438264441668
B7,C4烯烃选择性,三次多项式,0.9990370581495861
B7,C4烯烃选择性,指数,0.9967937168702697
B7,C4烯烃选择性,阿伦尼乌斯,0.997218651044082
