指标,最佳模型,R²,拟合方程,与时间相关系数
乙醇转化率,双曲线衰减,0.9886379182510024,y = 27.479/(1 + 0.005736t) + 18.801,-0.9658795001832213
C4烯烃选择性,线性衰减,0.046418672469917696,y = 0.002754t + 38.581,0.21544993030845397
C4烯烃收率,双曲线衰减,0.9962653931424679,y = 9.707/(1 + 0.015613t) + 9.964,-0.9260021089524185
